,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
rest,66.22263783659993,906.0345821325649,70.16127130686839,22.313992555290493,44.126984391017324,0.7485549132947977,0.28901734104046245,44.0,31.20238281350752,94.3156615706432,9245.309383627588,0.33082928427678665,0.2226533922834696,2733.9712004528806,412.8610524148982,1354.404057002645,0.30482857038141015,4501.236309870424,60.738228616386124,9.172170132671464,30.08960125094241,23.361580003747672,76.63841999625232
practice,65.29527976516022,918.9025641025642,59.00357002314911,21.713962567729116,40.84178514562932,0.7017994858611826,0.23393316195372751,38.0,28.878884471970824,78.31225746657103,7104.933695997486,0.36876582806080244,0.2511370929486285,249.36384527217797,368.26458344886095,758.0054040889673,0.48583371762563005,1375.6338328100064,18.127196302144053,26.77053839949597,55.10226529835997,32.69771791166476,67.30228208833523
boredom,63.40378197997776,946.3157894736842,53.660997159851554,24.508469527077693,47.30694678455001,0.750733137829912,0.3460410557184751,35.0,33.45097005979339,68.03415005777222,7149.662688490888,0.49167910573422313,0.24718823384006924,985.2109235251535,717.4686270723362,1166.3332360369716,0.6151489170540907,2869.012786634461,34.33971880902177,25.00750886906899,40.652772321909254,38.08620434678405,61.91379565321594
flow,67.177316012304,893.1586368977673,55.57372575369275,20.5810220641287,38.90785494563519,0.6741176470588235,0.1952941176470588,32.0,27.511959727138333,73.6481211161876,6365.508047582407,0.3735595601106421,0.31576039049034954,1684.541005223419,479.9028178179898,550.5893061594138,0.8716166704462691,2715.0331292008227,62.044952126211,17.675762872155097,20.27928500163389,46.570255769224396,53.42974423077561
ultra,68.4222688864552,876.9074889867842,49.39604655517196,24.151279101655565,41.40945982299043,0.6504424778761062,0.2079646017699115,36.0,29.27790812443481,63.25807235745057,5818.43075254318,0.4628327584659073,0.3333333333333333,206.05604710312872,359.95576889839043,542.6505405274756,0.6633288682408768,1108.6623565289947,18.5860055489076,32.46757380897658,48.94642064211583,39.87959813036901,60.12040186963099
overload,70.65543267952847,849.1916010498687,47.627795021305516,19.218794904008078,34.29607926034081,0.5842105263157895,0.12631578947368421,32.0,24.250925961131856,62.92402258063713,4793.962987057633,0.3854001217111366,0.12363231748779131,305.84325821064317,557.7644261313945,350.0973887189899,1.5931693411717822,1213.7050730610276,25.19914145528703,45.95551576007534,28.84534278463762,61.43715012656569,38.56284987343431
