,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
rest,83.33386304260769,719.9954233409611,39.21786798113256,16.897605126223286,27.323914988069138,0.43119266055045874,0.06192660550458716,24.0,19.32080550537818,51.87201508109505,3148.5327916432043,0.37247069494355767,0.1271334583479007,163.63465650954376,555.9596070262177,216.4719196008339,2.5682758671488957,936.0661831365953,17.481099035244753,59.39319431060884,23.125706654146406,71.9752609598816,28.024739040118405
practice,86.92729920466002,690.2319587628866,33.04850869693038,18.610990880792546,31.06532252473635,0.48578811369509045,0.09560723514211886,21.0,21.966475596171097,41.3034691510098,2850.3407733274,0.5318312492313749,0.13333333333333333,210.5658909154912,319.9903851793577,56.806999534838205,5.63293938774422,587.3632756296871,35.84934565235671,54.479127050684205,9.671527296959082,84.92372775412791,15.076272245872092
boredom,86.92729920466002,690.2319587628866,33.04850869693038,18.610990880792546,31.06532252473635,0.48578811369509045,0.09560723514211886,21.0,21.966475596171097,41.3034691510098,2850.3407733274,0.5318312492313749,0.13333333333333333,210.5658909154912,319.9903851793577,56.806999534838205,5.63293938774422,587.3632756296871,35.84934565235671,54.479127050684205,9.671527296959082,84.92372775412791,15.076272245872092
flow,87.37786533904848,686.672760511883,46.86923003623429,18.434992898513986,30.624126852388464,0.4876486733760293,0.09332113449222323,33.0,21.654505499678717,62.66973504972733,4263.399225728589,0.34553370111579773,0.11980511700966429,617.2817111405564,428.89200834702683,114.92018294092203,3.732086021543412,1161.0939024285053,53.16380611847763,36.93861516712564,9.897578714396726,78.86767071757835,21.132329282421644
ultra,92.01810388754008,652.0456026058632,55.23805047317117,16.844130172290093,27.614526820194982,0.43137254901960786,0.06535947712418301,48.0,19.52604944325936,75.50348184026342,4631.602044241797,0.2586112450359446,0.13333333333333333,1377.178178248358,310.7211012994331,107.21202983582639,2.8981925048452104,1795.1113093836175,76.71826092618379,17.309294397244066,5.972444676572144,74.3470852515092,25.652914748490804
overload,86.59607906979656,692.8720173535792,40.74271021987168,17.92005139406619,28.760782477110254,0.44782608695652176,0.08043478260869565,26.0,20.33631595672804,53.74650505189156,3433.7793318616873,0.3783746670986995,0.1252308944616637,194.7672240121911,452.2592397000226,154.43394156048305,2.9284963857695634,801.4604052726967,24.30154037939299,56.4293927341478,19.269066886459218,74.54496830842554,25.455031691574472
