,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
rest,73.28544175885061,818.7164948453608,36.55319575184438,14.281711485290371,24.60940346733516,0.4160206718346253,0.031007751937984496,22.0,17.401130739137063,48.700167018729864,2662.3049113260104,0.3573115207683922,0.18888119372914436,287.7523697519305,405.95374359882493,373.014989198042,1.0883041040028958,1066.7211025487975,26.97540801099575,38.05622131491061,34.968370674093634,52.114253949739236,47.88574605026076
practice,68.13571281568812,880.5954692556634,32.844954672422986,20.233953786037052,38.753634098548176,0.6818181818181818,0.20454545454545456,24.0,27.402951311803356,37.468080528976785,3225.5862323089946,0.731367898353124,0.1,101.21656477340541,239.07004110805207,131.2689781142971,1.8212226875103086,471.5555839957546,21.464397455701988,50.69816777107752,27.83743477322048,64.55437550438506,35.445624495614936
boredom,70.83250049970017,847.0687830687831,51.66764493800461,18.16788311460877,33.52025398256557,0.6021220159151194,0.11140583554376658,28.0,23.70177077268208,69.10235109402211,5145.451513052356,0.3429951426751451,0.12492582529123333,1000.2480227274933,1397.776853896081,262.133064391171,5.332317985686204,2660.1579410147456,37.60107651149232,52.54488210436423,9.854041384143436,84.20799457228087,15.792005427719129
flow,71.02456551692637,844.7781350482315,40.8146290991944,15.735790758520068,28.317558513609075,0.5150214592274678,0.0611587982832618,24.0,20.023450202079907,54.132461153124886,3405.2308371904337,0.36989728114226006,0.13956379968788457,565.6697340937326,445.6620974116442,228.94176092671964,1.9466177581917572,1240.2735924320964,45.60846393451712,35.93256359975621,18.458972465726664,66.06278512983417,33.93721487016583
ultra,70.31155291550492,853.3448275862069,39.56555090067269,16.89446615982832,31.524058015525757,0.5714285714285714,0.06493506493506493,21.0,22.290861741848506,51.4510358038301,3603.0546814869153,0.43324417853972796,0.13333333333333333,269.52394016859375,358.8131398638878,159.80218489073212,2.245358160210596,788.1392649232137,34.19750190911409,45.52661640311069,20.27588168777522,69.18675996195414,30.813240038045862
overload,71.95093915237072,833.901554404145,44.19130160427729,17.29261154070693,29.17782470550974,0.4753246753246753,0.08571428571428572,26.0,20.631314511487574,58.98243149872486,3822.957274408499,0.34978745343744605,0.12426991425375916,606.4560430862097,792.6404140167211,229.19574349517154,3.458355735273154,1628.2922005981022,37.24491481709775,48.6792489533248,14.075836229577446,77.57020616169534,22.42979383830465
