,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu
rest,74.85622701989251,801.5365239294711,45.293410100104836,14.8647638036558,23.192867242087402,0.31313131313131315,0.03282828282828283,24.0,16.399823981053263,61.94761683394251,3191.6382626450873,0.26473696357060544,0.12570315200653656,340.3673322369811,914.647544649038,135.4229287056569,6.754008005815867,1390.437805591676,24.479148284675983,65.78126263330607,9.739589082017954,87.10344380287003,12.896556197129968
practice,73.6079674060661,815.1291512915129,45.725092213699035,16.334057261188875,28.859814429217817,0.5,0.05925925925925926,30.0,20.40515279607093,61.096636669670104,3916.5802278940773,0.3339816053442522,0.13333333333333333,1310.9367881277342,475.5215212016552,87.38784996155186,5.441506129408962,1873.8461592909414,69.9596806081343,25.376764194003595,4.663555197862092,84.47568037800262,15.524319621997389
boredom,71.74970180750528,836.2404092071612,46.7715075336267,15.257884867326437,24.677198029032844,0.39487179487179486,0.041025641025641026,26.0,17.448146526938313,63.660570151224384,3489.5521760378233,0.27408090259780266,0.12233538245098938,702.4131124654225,1266.51434905618,184.55408151309408,6.862564830170505,2153.4815430346966,32.61755898198127,58.812407896071484,8.570033121947242,87.2815039163459,12.718496083654095
flow,72.64355040390608,825.9508196721312,41.46624617598836,14.500606591531605,24.770079897887168,0.4208675263774912,0.035169988276670575,27.0,17.514995343441083,55.95280220109813,3078.8018611487882,0.31303160260840934,0.1275944198707043,531.8144706155671,449.16862413062444,160.52653363779723,2.798095828469719,1141.5096283839887,46.58869775530897,39.3486496269421,14.062652617748945,73.67101713168444,26.328982868315553
ultra,74.36229150413288,806.8605577689243,29.378564937323663,8.468146432366412,14.576144894998814,0.164,0.0,18.0,10.303746891301241,40.093700253281675,1297.8401151731236,0.25699166767372333,0.13333333333333333,450.3703409364538,203.49482140435478,55.07020593570826,3.695189040003317,708.9353682765168,63.527700985118436,28.704283988407617,7.76801502647395,78.7016030349378,21.298396965062214
overload,71.61959189654542,837.7595907928388,27.366107509869877,13.710948609362275,24.434947650172422,0.43333333333333335,0.01282051282051282,18.0,17.278103482748104,34.60615717467661,1878.448614879234,0.4992783045957938,0.12211503236048357,186.62412815868504,299.52183326734917,85.48393486582219,3.503837694620474,571.6298962918564,32.64772003166898,52.397860085754274,14.954419882576744,77.79671320761776,22.20328679238223
